Time,Pitch(Deg),Roll(Deg),Yaw(Deg),AngVelX(PitchSpeed),AngVelZ(RollSpeed),AngVelY(YawSpeed),VerticalVelocity,Altitude
3.280,0.00,0.00,0.00,0.000,0.000,0.000,2.911,7.283
3.300,2.21,-1.11,352.35,1.989,-0.842,-6.658,3.017,7.343
3.320,1.39,-0.81,349.82,-0.742,0.150,-2.215,2.967,7.402
3.340,1.55,-0.89,348.97,0.150,-0.042,-0.739,2.906,7.461
3.360,1.37,-0.75,348.69,-0.180,0.087,-0.247,2.834,7.517
3.380,1.35,-0.72,348.60,-0.027,0.023,-0.082,2.751,7.572
3.400,1.21,-0.59,348.57,-0.137,0.088,-0.028,2.657,7.625
3.420,1.07,-0.64,348.56,-0.110,-0.066,-0.007,2.557,7.677
3.440,0.91,-0.54,348.56,-0.154,0.060,-0.003,2.454,7.726
3.460,0.75,-0.61,348.56,-0.131,-0.090,0.001,2.349,7.773
3.480,0.57,-0.52,348.56,-0.164,0.048,0.000,2.244,7.817
3.500,0.40,-0.60,348.56,-0.137,-0.098,0.002,2.139,7.860
3.520,0.22,-0.51,348.56,-0.168,0.043,0.001,2.034,7.901
3.540,0.04,-0.60,348.56,-0.139,-0.101,0.002,1.931,7.940
3.560,-0.14,-0.51,348.57,-0.169,0.041,0.002,1.828,7.976
3.580,-0.32,-0.59,348.57,-0.140,-0.102,0.001,1.726,8.011
3.600,-0.50,-0.52,348.57,-0.163,0.036,0.002,1.624,8.043
3.620,-0.67,-0.61,348.57,-0.132,-0.108,0.001,1.523,8.074
3.640,-0.76,-0.62,348.57,-0.076,-0.022,0.001,1.419,8.102
3.660,-0.89,-0.75,348.57,-0.090,-0.136,0.000,1.310,8.128
3.680,-0.93,-0.81,348.57,-0.021,-0.059,0.000,1.194,8.152
3.700,-1.13,-0.87,348.58,-0.163,-0.088,0.002,1.074,8.174
3.720,-1.18,-0.92,348.58,-0.033,-0.051,0.000,0.952,8.193
3.740,-1.40,-0.97,348.58,-0.180,-0.077,0.002,0.830,8.209
3.760,-1.45,-1.01,348.58,-0.040,-0.046,0.000,0.707,8.223
3.780,-1.66,-1.03,348.59,-0.171,-0.053,0.003,0.586,8.235
3.800,-1.69,-1.04,348.59,-0.025,-0.017,0.000,0.467,8.244
3.820,-1.88,-1.05,348.59,-0.165,-0.040,0.003,0.349,8.251
3.840,-1.91,-1.05,348.59,-0.020,-0.008,0.000,0.232,8.256
3.860,-2.04,-1.00,348.59,-0.121,0.028,0.004,0.120,8.258
3.880,-1.98,-0.92,348.59,0.035,0.077,0.002,0.010,8.259
3.900,-2.07,-0.82,348.59,-0.096,0.066,0.004,-0.097,8.257
3.920,-1.99,-0.72,348.59,0.053,0.103,0.002,-0.203,8.253
3.940,-1.98,-0.51,348.59,-0.022,0.177,0.006,-0.302,8.247
3.960,-1.86,-0.37,348.59,0.078,0.142,0.003,-0.392,8.239
3.980,-1.78,-0.16,348.59,0.026,0.190,0.005,-0.471,8.229
4.000,-1.61,-0.04,348.59,0.125,0.134,0.003,-0.537,8.219
4.020,-1.51,0.16,348.59,0.049,0.190,0.005,-0.591,8.207
4.040,-1.33,0.28,348.59,0.141,0.133,0.003,-0.633,8.194
4.060,-1.22,0.48,348.59,0.058,0.190,0.004,-0.662,8.181
4.080,-1.02,0.59,348.59,0.146,0.133,0.004,-0.679,8.167
4.100,-1.01,0.70,348.59,-0.003,0.093,0.002,-0.689,8.153
4.120,-0.84,0.79,348.60,0.128,0.103,0.003,-0.695,8.140
4.140,-0.75,0.77,348.60,0.078,0.002,0.001,-0.693,8.126
4.160,-0.57,0.82,348.60,0.150,0.071,0.003,-0.682,8.112
4.180,-0.46,0.77,348.60,0.098,-0.024,0.001,-0.660,8.099
4.200,-0.27,0.80,348.60,0.160,0.057,0.002,-0.628,8.086
4.220,-0.16,0.74,348.61,0.105,-0.032,0.001,-0.585,8.075
4.240,0.04,0.76,348.61,0.164,0.052,0.002,-0.531,8.064
4.260,0.15,0.69,348.61,0.107,-0.035,0.001,-0.465,8.055
4.280,0.35,0.71,348.61,0.165,0.050,0.002,-0.388,8.047
4.300,0.41,0.69,348.61,0.060,-0.005,0.001,-0.303,8.041
4.320,0.64,0.68,348.62,0.200,0.027,0.003,-0.214,8.037
4.340,0.71,0.66,348.62,0.062,-0.006,0.001,-0.122,8.034
4.360,0.95,0.63,348.62,0.207,0.022,0.003,-0.029,8.034
4.380,1.02,0.61,348.62,0.065,-0.008,0.001,0.063,8.035
4.400,1.26,0.59,348.62,0.209,0.021,0.003,0.156,8.038
4.420,1.42,0.47,348.62,0.158,-0.070,0.004,0.244,8.043
4.440,1.49,0.43,348.62,0.071,-0.028,0.002,0.323,8.049
4.460,1.46,0.26,348.62,-0.004,-0.144,0.003,0.393,8.057
4.480,1.47,0.18,348.62,0.022,-0.075,0.002,0.454,8.066
4.500,1.37,-0.01,348.62,-0.048,-0.171,0.004,0.503,8.076
4.520,1.33,-0.09,348.62,-0.020,-0.078,0.002,0.541,8.087
4.540,1.20,-0.25,348.62,-0.088,-0.164,0.004,0.569,8.098
4.560,1.10,-0.30,348.62,-0.071,-0.056,0.001,0.586,8.110
4.580,0.91,-0.42,348.63,-0.143,-0.135,0.003,0.592,8.122
4.600,0.79,-0.45,348.63,-0.097,-0.043,0.001,0.587,8.134
4.620,0.50,-0.46,348.63,-0.250,-0.066,0.002,0.576,8.145
4.640,0.35,-0.46,348.63,-0.127,-0.024,0.001,0.560,8.156
4.660,0.03,-0.45,348.63,-0.279,-0.048,0.002,0.541,8.167
4.680,-0.14,-0.44,348.63,-0.141,-0.015,0.001,0.522,8.178
4.700,-0.47,-0.42,348.64,-0.288,-0.042,0.002,0.501,8.188
4.720,-0.64,-0.40,348.64,-0.147,-0.012,0.001,0.481,8.197
4.740,-0.97,-0.38,348.64,-0.291,-0.040,0.002,0.460,8.207
4.760,-1.14,-0.36,348.64,-0.149,-0.011,0.001,0.439,8.215
4.780,-1.40,-0.26,348.64,-0.240,0.039,0.003,0.415,8.224
4.800,-1.57,-0.23,348.64,-0.146,-0.005,0.001,0.383,8.231
4.820,-1.72,-0.02,348.64,-0.165,0.152,0.006,0.347,8.238
4.840,-1.76,0.13,348.64,-0.058,0.127,0.004,0.305,8.244
4.860,-1.85,0.40,348.64,-0.126,0.212,0.007,0.253,8.249
4.880,-1.84,0.60,348.64,-0.030,0.169,0.006,0.192,8.253
4.900,-1.82,0.79,348.64,-0.014,0.171,0.006,0.115,8.256
4.920,-1.68,0.88,348.65,0.106,0.101,0.004,0.035,8.256
4.940,-1.59,1.03,348.65,0.048,0.144,0.005,-0.043,8.255
4.960,-1.41,1.09,348.65,0.149,0.080,0.004,-0.114,8.253
4.980,-1.31,1.21,348.65,0.063,0.119,0.004,-0.177,8.250
5.000,-1.13,1.23,348.66,0.151,0.054,0.004,-0.229,8.245
5.020,-0.96,1.22,348.66,0.144,0.014,0.003,-0.268,8.240
5.040,-0.78,1.18,348.66,0.167,0.004,0.003,-0.288,8.234
5.060,-0.68,1.04,348.67,0.108,-0.103,0.000,-0.293,8.228
5.080,-0.51,0.96,348.67,0.158,-0.041,0.002,-0.285,8.222
5.100,-0.43,0.79,348.67,0.099,-0.138,0.000,-0.263,8.217
5.120,-0.27,0.68,348.67,0.154,-0.059,0.001,-0.229,8.212
5.140,-0.19,0.49,348.67,0.096,-0.149,0.000,-0.183,8.209
5.160,-0.05,0.40,348.67,0.140,-0.057,0.001,-0.125,8.206
5.180,0.00,0.23,348.67,0.072,-0.138,0.000,-0.064,8.205
5.200,0.12,0.15,348.67,0.121,-0.048,0.000,-0.005,8.205
5.220,0.16,-0.01,348.67,0.057,-0.129,0.000,0.047,8.206
5.240,0.25,-0.06,348.67,0.089,-0.027,0.000,0.092,8.208
5.260,0.25,-0.19,348.67,0.023,-0.108,0.000,0.127,8.210
5.280,0.33,-0.22,348.67,0.073,-0.017,0.000,0.152,8.213
5.300,0.27,-0.29,348.67,-0.043,-0.064,0.001,0.168,8.217
5.320,0.37,-0.34,348.67,0.091,-0.029,0.000,0.179,8.220
5.340,0.30,-0.40,348.67,-0.050,-0.059,0.001,0.187,8.224
5.360,0.39,-0.45,348.67,0.092,-0.030,0.000,0.193,8.228
5.380,0.39,-0.44,348.67,-0.005,0.010,0.000,0.194,8.232
5.400,0.48,-0.50,348.67,0.088,-0.037,0.000,0.188,8.235
5.420,0.49,-0.48,348.67,0.002,0.021,0.000,0.173,8.239
5.440,0.58,-0.54,348.67,0.089,-0.035,0.000,0.147,8.242
5.460,0.59,-0.51,348.67,0.004,0.023,0.000,0.111,8.244
5.480,0.61,-0.64,348.67,0.043,-0.105,0.001,0.067,8.245
5.500,0.63,-0.61,348.67,0.007,0.028,0.000,0.019,8.246
5.520,0.64,-0.75,348.67,0.035,-0.116,0.001,-0.032,8.245
5.540,0.65,-0.72,348.67,0.005,0.025,0.000,-0.083,8.243
5.560,0.66,-0.86,348.67,0.033,-0.118,0.001,-0.135,8.241
5.580,0.67,-0.84,348.67,0.001,0.020,0.000,-0.188,8.237
5.600,0.64,-0.95,348.67,-0.004,-0.104,0.002,-0.238,8.232
5.620,0.60,-0.89,348.67,-0.043,0.045,0.000,-0.287,8.227
5.640,0.56,-0.99,348.67,-0.024,-0.093,0.002,-0.334,8.220
5.660,0.50,-0.92,348.67,-0.057,0.052,0.000,-0.381,8.212
5.680,0.45,-1.01,348.67,-0.032,-0.089,0.001,-0.428,8.204
5.700,0.39,-0.94,348.68,-0.062,0.055,0.000,-0.474,8.194
5.720,0.33,-1.03,348.68,-0.034,-0.088,0.001,-0.519,8.184
5.740,0.27,-0.95,348.68,-0.064,0.056,0.001,-0.564,8.173
5.760,0.21,-1.04,348.68,-0.036,-0.087,0.001,-0.608,8.160
5.780,0.15,-0.97,348.68,-0.064,0.056,0.001,-0.652,8.147
5.800,0.09,-1.05,348.68,-0.036,-0.087,0.001,-0.695,8.133
5.820,0.03,-0.98,348.68,-0.065,0.056,0.001,-0.738,8.119
5.840,-0.03,-1.07,348.68,-0.036,-0.087,0.001,-0.781,8.103
5.860,-0.09,-0.99,348.68,-0.065,0.056,0.001,-0.823,8.087
5.880,-0.15,-1.08,348.68,-0.036,-0.087,0.001,-0.865,8.069
5.900,-0.21,-1.00,348.69,-0.065,0.056,0.001,-0.906,8.051
5.920,-0.23,-1.06,348.69,-0.013,-0.052,0.000,-0.945,8.032
5.940,-0.25,-0.93,348.69,-0.034,0.102,0.001,-0.983,8.013
5.960,-0.26,-0.97,348.69,0.000,-0.032,0.000,-1.020,7.992
5.980,-0.26,-0.84,348.69,-0.025,0.116,0.001,-1.056,7.971
6.000,-0.26,-0.86,348.69,0.006,-0.024,0.000,-1.091,7.949
6.020,-0.25,-0.72,348.69,-0.022,0.121,0.001,-1.126,7.927
6.040,-0.25,-0.75,348.69,0.008,-0.021,0.000,-1.160,7.904
